 Genre,IMDB Rating,Plot,Run Time,Title,Tomatometer
"Drama, Horror, Music",8.0,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",115 min,Let the Right One In,98
"Adventure, Family, Fantasy",6.9,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.",103 min,Pete's Dragon,86
"Animation, Adventure, Family",8.0,A young boy named Kubo must locate a magical suit of armor worn by his late father in order to defeat a vengeful spirit from the past.,101 min,Kubo and the Two Strings,97
"Action, Adventure, Sci-Fi",7.2,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.",122 min,Star Trek Beyond,84
"Action, Drama, Horror",7.6,"While a zombie-virus breaks out in South Korea, a couple of passengers struggle to survive on the train from Seoul to Busan.",118 min,Train to Busan,97
"Adventure, Drama, Thriller",8.0,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",143 min,Blood Diamond,62
"Drama, Mystery, Sci-Fi",8.5,Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.,130 min,The Prestige,76
"Comedy, Drama, War",8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",116 min,Life Is Beautiful,80
"Biography, Drama, History",8.0,"The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.",118 min,The King's Speech,95
"Drama, Horror, Mystery",7.3,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",104 min,10 Cloverfield Lane,90
"Action, Comedy, Crime",7.1,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",112 min,22 Jump Street,84
"Drama, Horror, Sci-Fi",7.6,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",113 min,28 Days Later...,87
"Drama, Fantasy, Horror",7.0,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",101 min,A Girl Walks Home Alone at Night,95
"Comedy, Horror, Thriller",6.6,"A loan officer who evicts an old woman from her home finds herself the recipient of a supernatural curse. Desperate, she turns to a seer to try and save her soul, while evil forces work to push her to a breaking point.",99 min,Drag Me to Hell,92
"Action, Comedy, Mystery",7.9,"Exceptional London cop Nicholas Angel is involuntarily transferred to a quaint English village and paired with a witless new partner. While on the beat, Nicholas suspects a sinister conspiracy is afoot with the residents.",121 min,Hot Fuzz,91
"Comedy, Fantasy, Horror",6.2,A boy who has a bad Christmas ends up accidentally summoning a festive demon to his family home.,98 min,Krampus,65
"Crime, Drama, Thriller",7.8,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",107 min,Misery,89
"Adventure, Drama, Family",7.0,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",127 min,Miss Peregrine's Home for Peculiar Children,63
"Comedy, Drama, Musical",N/A,N/A,60 min,Mr Nobody,N/A
"Animation, Adventure, Comedy",6.4,A sausage strives to discover the truth about his existence.,89 min,Sausage Party,83
"Adventure, Comedy, Drama",7.1,A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.,97 min,Swiss Army Man,68
"Drama, Mystery, Thriller",6.7,"While attending a dinner party at his former home, a man thinks his ex-wife and her new husband have sinister intentions for their guests.",100 min,The Invitation,88
"Animation, Adventure, Comedy",6.0,"When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back.",92 min,The SpongeBob Movie: Sponge Out of Water,80
"Drama, Fantasy, Horror",6.4,A young solicitor travels to a remote village where he discovers the vengeful ghost of a scorned woman is terrorizing the locals.,95 min,The Woman in Black,66
"Horror, Thriller",6.8,"Five interwoven stories that occur on Halloween: An everyday high school principal has a secret life as a serial killer; a college virgin might have just met the guy for her; a group of teenagers pull a mean prank; a woman who loathes the night has to contend with her holiday-obsessed husband; and a mean old man meets his match with a demonic, supernatural trick-or-treater.",82 min,Trick 'r Treat,82
"Action, Drama, Mystery",7.6,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",162 min,Watchmen,65
"Adventure, Horror, Thriller",7.2,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",99 min,The Descent,85
"Horror, Mystery, Sci-Fi",7.2,A man accidentally gets into a time machine and travels back in time nearly an hour. Finding himself will be the first of a series of disasters of unforeseeable consequences.,92 min,Timecrimes,88
"Animation, Adventure, Drama",7.7,A group of rabbits flee their doomed warren and face many dangers to find and protect their new home.,91 min,Watership Down,82
